GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,MLE,Male,,17.2,17.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,AGO,Angola,,MLE,Male,,55.1,55.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ALB,Albania,,MLE,Male,,2.9,2.9,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,MLE,Male,,0.9,0.9,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ARG,Argentina,,MLE,Male,,10.8,10.8,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ARM,Armenia,,MLE,Male,,5,5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ATG,Antigua and Barbuda,,MLE,Male,,2.5,2.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,AUS,Australia,,MLE,Male,,1.7,1.7,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,AUT,Austria,,MLE,Male,,1.9,1.9,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,AZE,Azerbaijan,,MLE,Male,,4.1,4.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BDI,Burundi,,MLE,Male,,59.8,59.8,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BEL,Belgium,,MLE,Male,,4.7,4.7,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BEN,Benin,,MLE,Male,,66,66,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,64.1,64.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BGD,Bangladesh,,MLE,Male,,14.7,14.7,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BGR,Bulgaria,,MLE,Male,,3.5,3.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,BHR,Bahrain,,MLE,Male,,0.7,0.7,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BHS,Bahamas,,MLE,Male,,3,3,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BIH,Bosnia and Herzegovina,,MLE,Male,,2.1,2.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,BLR,Belarus,,MLE,Male,,2.1,2.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BLZ,Belize,,MLE,Male,,4.9,4.9,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,MLE,Male,,12.8,12.8,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BRA,Brazil,,MLE,Male,,6.5,6.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,BRB,Barbados,,MLE,Male,,6.9,6.9,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,BRN,Brunei Darussalam,,MLE,Male,,1.6,1.6,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,BTN,Bhutan,,MLE,Male,,16.3,16.3,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,BWA,Botswana,,MLE,Male,,32.5,32.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,CAF,Central African Republic,,MLE,Male,,108.9,108.9,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,CAN,Canada,,MLE,Male,,2.1,2.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,CHE,Switzerland,,MLE,Male,,2.3,2.3,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,CHL,Chile,,MLE,Male,,2.2,2.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,WPR,Western Pacific,,CHN,China,,MLE,Male,,2.5,2.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,CIV,Cote d'Ivoire,,MLE,Male,,53.8,53.8,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,CMR,Cameroon,,MLE,Male,,52.2,52.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,COD,Democratic Republic of the Congo,,MLE,Male,,63,63,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,COG,Congo,,MLE,Male,,31.2,31.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,COL,Colombia,,MLE,Male,,3.4,3.4,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,COM,Comoros,,MLE,Male,,48.4,48.4,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,CPV,Cabo Verde,,MLE,Male,,13.1,13.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,CRI,Costa Rica,,MLE,Male,,3,3,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,CUB,Cuba,,MLE,Male,,10.1,10.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,CYP,Cyprus,,MLE,Male,,1.5,1.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,CZE,Czechia,,MLE,Male,,4.2,4.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,DEU,Germany,,MLE,Male,,3.6,3.6,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,DJI,Djibouti,,MLE,Male,,41.2,41.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,DNK,Denmark,,MLE,Male,,4.1,4.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,DOM,Dominican Republic,,MLE,Male,,6.1,6.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,DZA,Algeria,,MLE,Male,,4.2,4.2,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AMR,Americas,,ECU,Ecuador,,MLE,Male,,4.5,4.5,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EMR,Eastern Mediterranean,,EGY,Egypt,,MLE,Male,,5.1,5.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,ERI,Eritrea,,MLE,Male,,83.6,83.6,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,ESP,Spain,,MLE,Male,,3.1,3.1,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,EUR,Europe,,EST,Estonia,,MLE,Male,,3,3,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2019,2019,,AFR,Africa,,ETH,Ethiopia,,MLE,Male,,45.7,45.7,,,,,
